taluk_name,At current prices 2018_19_Gross Distric Domestic Product(GDDP) in Lakhs ,At current price 2018_19_Net District Domestic Product (NDDP) Rs in Lakhs ,At constan price 2011-12_Gross distric Domestic Product(GDDP) Rs in Lakhs ,At constan price 2011_12_Net District Domestic Product (NDDP) Rs in Lakhs ,Per capita income in Rs_2018_19_At Current Prices ,Per capita income in Rs_2011_12_At Constant Prices 
Sonduru,635094,565881,525485,466902,204719,168912
Soraba,317180,291601,230471,209672,136700,98292
Sringeri,167571,149319,140700,124581,384700,320966
Srinivaspura,234422,217297,177620,162831,101114,75770
Srirangapatna,304611,279593,235329,214054,146069,111829
Sulya,320949,291146,251177,225692,188724,146296
T.Narasipura,374336,344587,286988,261194,111078,84196
Talikote,0,0,0,0,0,0
Tarikere,343822,313818,264492,239371,131135,100026
Thirthahalli,405059,363652,311112,275926,241069,182915
Tikota,0,0,0,0,0,0
Tiptur,408801,371169,306202,275455,156862,116412
Tumkur,1217163,1112245,927107,840180,176746,133513
Turuvekere,256917,234501,187863,169818,130628,94596
Udupi,1550172,1418992,1224837,1110055,237350,185675
Vadagera,0,0,0,0,0,0
Virajpet,230166,212106,161013,146663,99127,68542
Yadgir,311061,283413,240216,216475,66974,51156
Yadrami,0,0,0,0,0,0
Yalandur,125819,115368,101923,92766,132334,106408
yelburga,229187,210080,173456,156947,73947,55244
Yellapur,110479,102440,82445,75784,122593,90693
NA,115591207,105087350,89469657,80497733,23478671,18002204
